Month Year,Value of Import
1990-01,26173
1990-02,19159
1990-03,27451
1990-04,26171
1990-05,28544
1990-06,17922
1990-07,26481
1990-08,23562
1990-09,31341
1990-10,43549
1990-11,25242
1990-12,50914
1991-01,69158
1991-02,61637
1991-03,13725
1991-04,34632
1991-05,24989
1991-06,23759
1991-07,17966
1991-08,37883
1991-09,34601
1991-10,33082
1991-11,35627
1991-12,42152
1992-01,50253
1992-02,31072
1992-03,37189
1992-04,19353
1992-05,21794
1992-06,20417
1992-07,21008
1992-08,24640
1992-09,18008
1992-10,16589
1992-11,13101
1992-12,18123
1993-01,13190
1993-02,11418
1993-03,14598
1993-04,14366
1993-05,14519
1993-06,14270
1993-07,23104
1993-08,25529
1993-09,30680
1993-10,47624
1993-11,20121
1993-12,26978
1994-01,33903
1994-02,16803
1994-03,19280
1994-04,9066
1994-05,12729
1994-06,23110
1994-07,33888
1994-08,68407
1994-09,70732
1994-10,56674
1994-11,68528
1994-12,61586
1995-01,68153
1995-02,38072
1995-03,29770
1995-04,49208
1995-05,38223
1995-06,48021
1995-07,50000
1995-08,50545
1995-09,33988
1995-10,39025
1995-11,24674
1995-12,19319
1996-01,16607
1996-02,16543
1996-03,17499
1996-04,17763
1996-05,16141
1996-06,22076
1996-07,26656
1996-08,32669
1996-09,43514
1996-10,31283
1996-11,41167
1996-12,39689
1997-01,29244
1997-02,27505
1997-03,31872
1997-04,42966
1997-05,52229
1997-06,43521
1997-07,57842
1997-08,48106
1997-09,51904
1997-10,43349
1997-11,38461
1997-12,28720
1998-01,23524
1998-02,32324
1998-03,27978
1998-04,15869
1998-05,21840
1998-06,19290
1998-07,29811
1998-08,44923
1998-09,47693
1998-10,57644
1998-11,43367
1998-12,48535
1999-01,37467
1999-02,38255
1999-03,64982
1999-04,51780
1999-05,35555
1999-06,35293
1999-07,32629
1999-08,45896
1999-09,39301
1999-10,42367
1999-11,42357
1999-12,46332
2000-01,40574
2000-02,29819
2000-03,36887
2000-04,22662
2000-05,23678
2000-06,23162
2000-07,20510
2000-08,13877
2000-09,22613
2000-10,16403
2000-11,25490
2000-12,17083
2001-01,14511
2001-02,9855
2001-03,12231
2001-04,11365
2001-05,11321
2001-06,14089
2001-07,17859
2001-08,16096
2001-09,23457
2001-10,21102
2001-11,21580
2001-12,20681
2002-01,15483
2002-02,11777
2002-03,10950
2002-04,12241
2002-05,14971
2002-06,12747
2002-07,18087
2002-08,20113
2002-09,22566
2002-10,28315
2002-11,30469
2002-12,31832
2003-01,30058
2003-02,26224
2003-03,32942
2003-04,22980
2003-05,19117
2003-06,20016
2003-07,23046
2003-08,21352
2003-09,25218
2003-10,27367
2003-11,26158
2003-12,33530
2004-01,29844
2004-02,17191
2004-03,22575
2004-04,20809
2004-05,25719
2004-06,21618
2004-07,20269
2004-08,28862
2004-09,40355
2004-10,38816
2004-11,43477
2004-12,47772
2005-01,43651
2005-02,33478
2005-03,47311
2005-04,40207
2005-05,42578
2005-06,42470
2005-07,38213
2005-08,37499
2005-09,37838
2005-10,55674
2005-11,55837
2005-12,52092
2006-01,44828
2006-02,44642
2006-03,46153
2006-04,37512
2006-05,45037
2006-06,35895
2006-07,32627
2006-08,53279
2006-09,59599
2006-10,65282
2006-11,72653
2006-12,61312
2007-01,77394
2007-02,43843
2007-03,50904
2007-04,41163
2007-05,31150
2007-06,45047
2007-07,57230
2007-08,59522
2007-09,78032
2007-10,89669
2007-11,65957
2007-12,56866
2008-01,65826
2008-02,55216
2008-03,72616
2008-04,58538
2008-05,54886
2008-06,56210
2008-07,55157
2008-08,54885
2008-09,95956
2008-10,90784
2008-11,75793
2008-12,93477
2009-01,65533
2009-02,49617
2009-03,55459
2009-04,57435
2009-05,64022
2009-06,73948
2009-07,96062
2009-08,65739
2009-09,61587
2009-10,72872
2009-11,77963
2009-12,87984
2010-01,71306
2010-02,61424
2010-03,82640
2010-04,64947
2010-05,74980
2010-06,64519
2010-07,79689
2010-08,88686
2010-09,114502
2010-10,142062
2010-11,166875
2010-12,152549
2011-01,136059
2011-02,144194
2011-03,165742
2011-04,130182
2011-05,133427
2011-06,147098
2011-07,135352
2011-08,121343
2011-09,187377
2011-10,215728
2011-11,268247
2011-12,246254
2012-01,253893
2012-02,133365
2012-03,151417
2012-04,90177
2012-05,89830
2012-06,74961
2012-07,64537
2012-08,107757
2012-09,116241
2012-10,106626
2012-11,117086
2012-12,140676
2013-01,128447
2013-02,100209
2013-03,91981
2013-04,108994
2013-05,121601
2013-06,107860
2013-07,110707
